,tribunal_id,tribunal,code_j,code_tr,estado,estado_id,diario_start,diario_end
0,1,TJAC,8,1,AC,1.0,2011-01-03,2019-03-29
1,2,TJAL,8,2,AL,2.0,2009-08-11,2019-03-29
2,3,TJAP,8,3,AP,3.0,2011-01-04,2019-03-29
3,4,TJAM,8,4,AM,4.0,2008-06-09,2019-03-29
4,5,TJBA,8,5,BA,5.0,2010-01-04,2019-03-29
5,6,TJCE,8,6,CE,6.0,2003-01-02,2019-03-29
6,7,TJDF,8,7,DF,7.0,2008-03-03,2019-03-29
7,8,TJES,8,8,ES,8.0,2013-01-02,2019-03-29
8,9,TJGO,8,9,GO,9.0,2008-01-04,2019-03-31
9,10,TJMA,8,10,MA,10.0,2008-07-02,2019-03-29
10,11,TJMT,8,11,MT,11.0,2011-01-03,2019-03-29
11,12,TJMS,8,12,MS,12.0,2001-09-24,2019-03-29
12,13,TJMG,8,13,MG,13.0,2013-11-01,2019-01-30
13,14,TJPA,8,14,PA,14.0,2009-08-05,2019-03-29
14,15,TJPB,8,15,PB,15.0,2002-01-17,2019-03-29
15,16,TJPR,8,16,PR,16.0,2011-01-03,2019-07-19
16,17,TJPE,8,17,PE,17.0,2009-05-22,2019-03-29
17,18,TJPI,8,18,PI,18.0,2006-09-01,2019-03-29
18,19,TJRJ,8,19,RJ,19.0,2013-09-02,2019-07-31
19,20,TJRN,8,20,RN,20.0,2007-10-30,2019-03-29
20,21,TJRS,8,21,RS,21.0,2006-09-04,2019-07-26
21,22,TJRO,8,22,RO,22.0,2004-07-30,2019-03-29
22,23,TJRR,8,23,RR,23.0,2003-01-03,2018-11-27
23,24,TJSC,8,24,SC,24.0,2003-09-01,2019-01-25
24,25,TJSE,8,25,SE,25.0,1999-09-01,2019-03-29
25,26,TJSP,8,26,SP,26.0,2007-11-06,2019-03-29
26,27,TJTO,8,27,TO,27.0,2004-09-10,2019-03-29
27,28,STF,1,0,,,,
28,29,CNJ,2,0,,,,
29,30,STJ,3,0,,,,
30,31,TRF1,4,1,,,2009-10-13,2019-03-29
31,32,TRF2,4,2,,,2011-01-03,2019-03-29
32,33,TRF3,4,3,,,2011-08-15,2019-03-29
33,34,TRF4,4,4,,,2010-10-19,2019-03-29
34,35,TRF5,4,5,,,2009-09-01,2019-03-29
35,36,CJF,4,90,,,,
36,37,TST,5,0,,,,
37,38,CSJT,5,90,,,,
38,39,TRT1,5,1,,,,
39,40,TRT2,5,2,,,,
40,41,TRT3,5,3,,,,
41,42,TRT4,5,4,,,,
42,43,TRT5,5,5,,,,
43,44,TRT6,5,6,,,,
44,45,TRT7,5,7,,,,
45,46,TRT8,5,8,,,,
46,47,TRT9,5,9,,,,
47,48,TRT10,5,10,,,,
48,49,TRT11,5,11,,,,
49,50,TRT12,5,12,,,,
50,51,TRT13,5,13,,,,
51,52,TRT14,5,14,,,,
52,53,TRT15,5,15,,,,
53,54,TRT16,5,16,,,,
54,55,TRT17,5,17,,,,
55,56,TRT18,5,18,,,,
56,57,TRT19,5,19,,,,
57,58,TRT20,5,20,,,,
58,59,TRT21,5,21,,,,
59,60,TRT22,5,22,,,,
60,61,TRT23,5,23,,,,
61,62,TRT24,5,24,,,,
62,63,TSE,6,0,,,2008-04-22,2018-10-30
63,64,TRE-AC,6,1,AC,1.0,2011-08-24,2019-07-31
64,65,TRE-AL,6,2,AL,2.0,2011-08-24,2019-07-26
65,66,TRE-AP,6,3,AP,3.0,2011-08-24,2019-07-26
66,67,TRE-AM,6,4,AM,4.0,2011-08-24,2019-07-31
67,68,TRE-BA,6,5,BA,5.0,2011-08-24,2019-07-31
68,69,TRE-CE,6,6,CE,6.0,2011-08-24,2019-07-29
69,70,TRE-DF,6,7,DF,7.0,2011-08-24,2019-07-31
70,71,TRE-ES,6,8,ES,8.0,2011-08-24,2019-07-29
71,72,TRE-GO,6,9,GO,9.0,2011-08-24,2019-01-09
72,73,TRE-MA,6,10,MA,10.0,2011-08-24,2018-10-08
73,74,TRE-MT,6,11,MT,11.0,2011-08-24,2018-12-17
74,75,TRE-MS,6,12,MS,12.0,2011-08-24,2018-11-09
75,76,TRE-MG,6,13,MG,13.0,2011-08-24,2019-01-18
76,77,TRE-PA,6,14,PA,14.0,2011-08-24,2018-11-14
77,78,TRE-PB,6,15,PB,15.0,2011-08-24,2018-11-21
78,79,TRE-PR,6,16,PR,16.0,2011-08-24,2019-07-29
79,80,TRE-PE,6,17,PE,17.0,2011-08-24,2018-11-29
80,81,TRE-PI,6,18,PI,18.0,2011-08-24,2019-01-16
81,82,TRE-RJ,6,19,RJ,19.0,2011-08-24,2018-11-08
82,83,TRE-RN,6,20,RN,20.0,2011-08-24,2018-12-12
83,84,TRE-RS,6,21,RS,21.0,2011-08-24,2019-01-21
84,85,TRE-RO,6,22,RO,22.0,2011-08-24,2018-07-17
85,86,TRE-RR,6,23,RR,23.0,2011-08-24,2017-12-29
86,87,TRE-SC,6,24,SC,24.0,2011-08-24,2018-12-12
87,88,TRE-SE,6,25,SE,25.0,2011-08-24,2018-08-09
88,89,TRE-SP,6,26,SP,26.0,2011-08-24,2018-10-03
89,90,TRE-TO,6,27,TO,27.0,2011-08-24,2018-07-31
90,91,STM,7,0,,,,
91,92,CJM1,7,1,,,,
92,93,CJM2,7,2,,,,
93,94,CJM3,7,3,,,,
94,95,CJM4,7,4,,,,
95,96,CJM5,7,5,,,,
96,97,CJM6,7,6,,,,
97,98,CJM7,7,7,,,,
98,99,CJM8,7,8,,,,
99,100,CJM9,7,9,,,,
100,101,CJM10,7,10,,,,
101,102,CJM11,7,11,,,,
102,103,CJM12,7,12,,,,
103,104,TJM-MG,9,13,MG,13.0,,
104,105,TJM-RS,9,21,RS,21.0,,
105,106,TJM-SP,9,26,SP,26.0,,
